Title,Date,Time,Location,Description,Category,Published
Paryushan Parva 2026,20-08-2026,6:00 AM onwards,"DJCHC Main Temple, Hi-Tec City","The most sacred 10-day festival of the Jain calendar begins. Daily pravachan, Samayik, Pratikraman and Tattvarth Sutra recitation. Families are encouraged to observe fasting and attend the evening aarti together. पर्युषण पर्व की मंगल शुरुआत।",Festival,TRUE
Daslakshan Mahaparva Concludes,30-08-2026,7:30 PM,"DJCHC Main Temple, Hi-Tec City",Grand conclusion of Daslakshan with special Ananta Chaturdashi puja and community bhojan. Volunteers needed for prasad seva — please register at the temple office.,Festival,TRUE
Kshamavani Diwas — Day of Forgiveness,31-08-2026,5:00 PM,"Community Hall, DJCHC","The community gathers to seek and grant forgiveness. ""Micchami Dukkadam"" — let go of all grievances and begin anew. A short cultural program by the children follows.",Festival,TRUE
Weekly Pathshala for Children,Every Sunday,10:00 AM - 12:00 PM,"Pathshala Room, DJCHC","Every Sunday. Jain philosophy, stories of the Tirthankaras, Sanskrit shlokas and moral values for kids aged 5-15. New students welcome any week.",Youth,TRUE
Mahila Mandal Bhakti Sandhya,25-07-2026,6:30 PM,"Community Hall, DJCHC",An evening of devotional bhajans and stavans led by the Mahila Mandal. Light refreshments served. All women of the community are warmly invited.,Community,TRUE
Free Health Check-up Camp,14-09-2026,9:00 AM - 2:00 PM,DJCHC Parking Grounds,"General physician, eye and dental check-ups offered free of cost by volunteer doctors. Part of our ongoing social welfare seva. Open to all, regardless of community.",Seva,TRUE
Chaturmas Kalash Sthapana,27-07-2026,8:00 AM,"DJCHC Main Temple, Hi-Tec City",Auspicious inauguration of Chaturmas with Kalash Sthapana in the presence of visiting Muni Maharaj. Register for the sponsorship draw at the temple office.,Festival,TRUE
Mahavir Jayanti Shobha Yatra 2027,09-04-2027,4:00 PM,"Starts at DJCHC, Hi-Tec City","Grand procession celebrating the birth of Lord Mahavir through the Hi-Tec City area, followed by abhishek and community bhojan. Save the date!",Festival,TRUE
Youth Meditation & Samayik Workshop,15-06-2026,11:00 AM,"Meditation Hall, DJCHC",A past event — an introductory workshop on Samayik and mindfulness for young adults. This past row demonstrates the Upcoming/Past filter.,Youth,TRUE
Internal Trustees Meeting (Hidden),05-08-2026,7:00 PM,Office,This row has Published set to FALSE and must NOT appear on the site. Used to verify unpublished events stay hidden.,Community,FALSE
